"","Frage1m","Frage2_SQ001","Frage3_SQ001","Frage3_SQ002","Frage3_SQ003","Frage3_SQ004","Frage3_SQ005","Frage3_SQ006","Frage3_SQ007","Frage3_SQ008","Frage3_SQ009","Frage3_SQ010","Frage3_SQ011","Frage3_SQ012","Frage3_SQ013","Frage3_SQ014","Frage3_SQ015","Frage3_SQ016","Frage3_SQ017","Frage3_SQ018","Frage3_SQ019","Frage4_SQ001","Frage5_SQ001","Frage5_SQ002","Frage5_SQ003","Frage5_SQ004","Frage5_SQ005","Frage5_SQ006","Frage5_SQ007","Frage5_SQ008","Frage5_SQ009","Frage5_SQ010","Frage5_SQ011","Frage5_SQ012","Frage5_SQ013","Frage5_SQ014","Frage5_SQ015","Frage5_SQ016","Frage5_SQ017","Frage5_SQ018","Frage6_SQ001","Frage6_SQ002","Frage6_SQ003","Frage6_SQ004","Frage6_SQ005","Frage6_SQ006","Frage6_SQ007","Frage6_SQ008","Frage6_SQ009","Frage6_SQ010","Frage6_SQ011","Frage6_SQ012","Frage6_SQ013","Frage6_SQ014","Frage6_SQ015","Frage6_SQ016","Frage6_SQ017","Frage6_SQ018","Frage7_A1","Frage8_1","Frage8_2","Frage8_3","Frage8_4","Frage8_5","Frage9","Frage10_SQ002","Frage10b_SQ001","Frage11_SQ001","Frage12_SQ001","Frage12_SQ002","Frage12_SQ003","Frage12_SQ004","Frage12_SQ005","Frage12_SQ006","Frage12_SQ007","Frage12_SQ008","methode","geschlecht","alter_koh","aufenthaltsdauer","gemeinde_groesse","bezirk_code","bezirk_name_kurz"
"912",4,NA,6,4,5,5,5,6,3,5,3,1,5,3,3,6,5,5,6,7,5,NA,4,NA,6,NA,NA,5,5,2,NA,2,2,5,NA,4,5,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,5,15,3,4,2,82,118,NA,3,3,4,4,NA,NA,NA,NA,"online",1,"30 bis 34","Neuzuzüger",">100000",110,"Winterthur"
"913",6,3,7,NA,NA,7,7,6,7,NA,6,4,7,4,6,6,NA,7,7,7,7,3,6,4,7,6,NA,6,NA,NA,7,7,1,NA,NA,5,6,6,5,7,6,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,4,11,4,15,NA,NA,2,90,110,3,NA,3,3,4,1,3,1,3,"online",1,"50 bis 54","Alteingesessen","<1000",103,"Bülach"
"914",6,3,6,1,7,7,7,5,5,1,7,7,7,1,1,6,7,7,7,7,1,3,6,7,7,6,6,7,6,7,7,6,4,6,6,5,5,6,7,7,5,4,3,4,4,6,4,5,6,4,4,4,4,4,5,5,4,4,4,12,15,6,4,3,2,85,115,3,1,4,4,4,3,3,1,4,"online",1,"60 bis 64","Alteingesessen","5001 bis 10000",111,"Dietikon"
"915",NA,3,4,5,5,NA,7,7,7,7,7,3,7,5,5,NA,NA,7,7,7,NA,3,7,7,7,NA,NA,7,7,NA,7,7,NA,4,NA,4,7,7,4,7,5,7,4,1,2,5,NA,NA,6,1,1,5,NA,5,5,4,NA,5,5,11,3,4,15,10,2,85,103,2,4,3,4,4,1,1,1,4,"P&P",1,"75 bis 79","Alteingesessen","10001 bis 20000",104,"Dielsdorf"
"916",7,4,7,NA,NA,6,6,6,5,5,5,5,7,5,4,6,NA,4,7,7,6,3,6,6,7,5,6,6,NA,5,6,5,NA,5,NA,6,6,4,6,6,6,6,7,NA,5,6,NA,5,6,NA,NA,NA,NA,5,6,5,7,6,5,3,7,6,14,4,1,NA,NA,2,2,2,NA,3,4,4,NA,3,"online",2,"45 bis 49","Alteingesessen","2001 bis 5000",103,"Bülach"
"917",2,4,5,4,5,6,7,6,5,5,5,3,6,5,6,6,1,6,7,3,6,4,5,2,5,5,6,5,6,5,5,4,4,6,4,5,6,5,7,7,5,4,6,6,5,6,NA,NA,NA,NA,NA,NA,NA,5,5,6,3,3,3,15,4,2,1,14,2,80,120,2,2,4,3,2,2,2,1,3,"online",1,"45 bis 49","Alteingesessen","5001 bis 10000",109,"Uster"
"918",8,3,3,2,4,5,6,5,3,5,2,2,3,4,6,7,2,4,3,3,4,3,2,2,4,4,3,4,2,2,2,2,2,2,2,3,3,2,2,4,5,5,5,5,5,6,5,5,5,5,4,5,5,5,5,6,5,6,4,1,14,15,2,6,2,85,115,2,2,3,3,3,2,2,3,2,"online",1,"18 bis 24","Neuzuzüger",">100000",110,"Winterthur"
"919",8,3,6,3,7,6,7,6,6,4,4,5,6,5,5,6,7,6,6,6,6,2,7,6,5,5,5,6,6,6,7,6,1,6,7,7,5,5,5,7,4,5,2,4,2,5,2,5,5,1,7,2,2,1,2,6,4,2,4,9,2,15,10,1,2,80,100,2,1,3,1,3,4,4,1,4,"online",2,"40 bis 44","Alteingesessen","<1000",102,"Andelfingen"
"920",6,4,5,5,2,6,NA,7,6,1,7,7,6,2,2,6,2,5,2,6,6,4,6,3,6,6,6,6,1,6,7,7,1,6,1,1,4,6,6,7,7,5,7,NA,7,7,NA,NA,NA,NA,NA,5,NA,NA,5,7,6,5,4,11,15,4,3,2,2,50,100,2,2,2,3,3,1,1,1,1,"online",2,"50 bis 54","Alteingesessen","1001 bis 2000",103,"Bülach"
"921",1,4,2,2,2,5,6,4,7,5,1,2,7,6,7,7,7,7,7,7,5,4,5,6,6,4,6,6,6,2,2,2,2,6,7,6,6,3,6,5,4,6,6,NA,NA,5,NA,NA,NA,5,NA,NA,2,5,4,4,4,5,3,9,12,14,2,10,1,NA,NA,3,2,2,4,3,2,3,2,3,"online",1,"35 bis 39","Neuzuzüger",">100000",112,"Zürich"
"922",6,4,6,1,6,5,6,3,5,1,1,1,4,1,7,2,1,6,7,6,3,4,5,1,7,1,1,7,5,2,6,1,4,4,5,1,2,4,1,3,7,7,NA,NA,7,7,7,NA,7,7,NA,7,7,7,7,7,7,7,5,3,2,4,11,8,2,80,120,3,4,4,3,4,1,1,1,1,"online",1,"50 bis 54","Alteingesessen","1001 bis 2000",102,"Andelfingen"
"923",2,4,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,7,3,5,5,7,7,7,7,7,7,7,7,4,7,7,7,7,5,7,5,7,3,7,7,5,7,5,NA,NA,NA,NA,4,5,7,5,3,5,7,4,11,12,2,6,10,2,90,110,3,1,4,4,4,1,1,3,3,"online",1,"55 bis 59","Alteingesessen","20001 bis 50000",109,"Uster"
"924",2,4,6,7,7,6,7,7,7,7,3,3,6,7,7,6,7,6,7,7,4,3,5,4,7,6,NA,6,7,5,6,5,6,7,7,6,7,NA,5,6,NA,6,5,NA,NA,4,NA,NA,NA,NA,NA,5,4,5,5,3,3,NA,4,2,1,12,4,6,NA,NA,NA,2,1,2,4,NA,3,3,1,NA,"online",2,"30 bis 34","Alteingesessen","20001 bis 50000",109,"Uster"
